cnae_subclasse_key,descricao,nivel,secao,divisao,grupo,classe,subclasse,e_obj4_original,com_agr_original,com_min_original,e_obj4_ajustado,com_agr_ajustado,com_min_ajustado,excluir_obj4,classificacao,q_salario,q_vinculos,rank_salario,rank_vinculos,rank_massa,salario_relativo,vinculos,massa_salarial_rais_2024,remuneracao,indice,e_obj4,com_agr,com_min
116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,Subclasse,A,01,011,01164,0116499,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,2.0,770.0,772.0,824.0,878871601993308.0,7990.0,1952659124.0,2443878753441802.0,131084886494047.0,0,0,0
119901,Cultivo de abacaxi,Subclasse,A,01,011,01199,0119901,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,1.0,1.0,1239.0,1185.0,1222.0,5948188982525386.0,583.0,96428972.0,1654013241852487.0,37456560253562.0,0,0,0
119902,Cultivo de alho,Subclasse,A,01,011,01199,0119902,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,3.0,825.0,573.0,655.0,8364804157088729.0,16398.0,3814177355.0,2326001558116843.0,138505004902506.0,0,0,0
119903,Cultivo de batata-inglesa,Subclasse,A,01,011,01199,0119903,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,3.0,747.0,452.0,509.0,8922169774459153.0,25000.0,6202470616.0,24809882464.0,174968478466665.0,0,0,0
119904,Cultivo de cebola,Subclasse,A,01,011,01199,0119904,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,1.0,2.0,1301.0,712.0,893.0,5303954746470532.0,10162.0,1498763902.0,1474870991930722.0,38118716029887.0,0,0,0
119905,Cultivo de feijão,Subclasse,A,01,011,01199,0119905,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,2.0,684.0,940.0,987.0,9321982308361336.0,3529.0,914774725.0,2592164139982998.0,135160545562739.0,0,0,0
119906,Cultivo de mandioca,Subclasse,A,01,011,01199,0119906,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,1.0,2.0,1244.0,944.0,1053.0,5909118510822657.0,3461.0,568693839.0,1643148913608783.0,42037799179375.0,0,0,0
119907,Cultivo de melão,Subclasse,A,01,011,01199,0119907,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,1.0,3.0,1190.0,445.0,608.0,6254362307907232.0,25551.0,4443704402.0,1739150875503894.0,95682006743651.0,0,0,0
119908,Cultivo de melancia,Subclasse,A,01,011,01199,0119908,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,1.0,1.0,1173.0,1177.0,1209.0,6321246221040311.0,661.0,116187228.0,1757749288956127.0,47630351026199.0,0,0,0
119909,Cultivo de tomate rasteiro,Subclasse,A,01,011,01199,0119909,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,1.0,2.0,1248.0,802.0,947.0,587808693785473.0,6912.0,1129780198.0,1634519962384259.0,47929461058596.0,0,0,0
119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,Subclasse,A,01,011,01199,0119999,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,1.0,4.0,1028.0,319.0,440.0,714581742471864.0,41014.0,8149637036.0,19870378495148.0,155432141743832.0,0,0,0
1210700,Processamento industrial do fumo,Subclasse,C,12,121,12107,1210700,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,3.0,700.0,492.0,529.0,9205905690879638.0,21917.0,5610503699.0,2559886708491126.0,176120604725806.0,0,0,0
