nivel_territorial,tipo_grupo,grupo,metodo_media,razao_referencia,n_territorios_grupo,massa_total_grupo,massa_obj4_grupo,massa_com_grupo,razao_dependencia_grupo_ponderada,razao_dependencia_grupo_media_simples,razao_dependencia_grupo_media_pond
tipologia,q_pibpc_pop,QPIBPC4_QPOP1,ponderada_massa_obj4,0.21575376430050447,44,25975644955.789307,9234291572.227623,1992333167.3565333,0.21575376430050447,0.8983434597383766,0.21575376430050447
tipologia,q_pibpc_pop,QPIBPC4_QPOP2,simples,0.5360752846645652,58,115063056601.72516,45830040269.44671,13170389494.28779,0.28737460008447846,0.5360752846645652,0.28737460008447846
tipologia,q_pibpc_pop,QPIBPC4_QPOP2,ponderada_refeita,0.28737460008447846,58,115063056601.72516,45830040269.44671,13170389494.28779,0.28737460008447846,0.5360752846645652,0.28737460008447846
tipologia,q_pibpc_pop,QPIBPC4_QPOP2,ponderada_massa_obj4,0.28737460008447846,58,115063056601.72516,45830040269.44671,13170389494.28779,0.28737460008447846,0.5360752846645652,0.28737460008447846
tipologia,q_pibpc_pop,QPIBPC4_QPOP3,simples,0.29045453774611607,50,224898503219.11597,94746757843.04764,12050575205.833885,0.12718720387030252,0.29045453774611607,0.12718720387030252
tipologia,q_pibpc_pop,QPIBPC4_QPOP3,ponderada_refeita,0.12718720387030252,50,224898503219.11597,94746757843.04764,12050575205.833885,0.12718720387030252,0.29045453774611607,0.12718720387030252
tipologia,q_pibpc_pop,QPIBPC4_QPOP3,ponderada_massa_obj4,0.12718720387030252,50,224898503219.11597,94746757843.04764,12050575205.833885,0.12718720387030252,0.29045453774611607,0.12718720387030252
tipologia,q_pibpc_pop,QPIBPC4_QPOP4,simples,0.16807151248024407,76,2736534264803.564,1117682587844.3357,63709460698.23753,0.05700138965313345,0.16807151248024407,0.05700138965313347
tipologia,q_pibpc_pop,QPIBPC4_QPOP4,ponderada_refeita,0.05700138965313345,76,2736534264803.564,1117682587844.3357,63709460698.23753,0.05700138965313345,0.16807151248024407,0.05700138965313347
tipologia,q_pibpc_pop,QPIBPC4_QPOP4,ponderada_massa_obj4,0.05700138965313347,76,2736534264803.564,1117682587844.3357,63709460698.23753,0.05700138965313345,0.16807151248024407,0.05700138965313347
tipologia,q_pibpc_pop,,simples,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
tipologia,q_pibpc_pop,,ponderada_refeita,9.213394584181282,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
tipologia,q_pibpc_pop,,ponderada_massa_obj4,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
tipologia,jenks_pib_pop,JPIB1_JPOP1,simples,0.6791583285574596,779,4333163709991.627,1737505012382.1316,138322450293.6958,0.07960981367418028,0.6791583285574596,0.07960981367418028
tipologia,jenks_pib_pop,JPIB1_JPOP1,ponderada_refeita,0.07960981367418028,779,4333163709991.627,1737505012382.1316,138322450293.6958,0.07960981367418028,0.6791583285574596,0.07960981367418028
tipologia,jenks_pib_pop,JPIB1_JPOP1,ponderada_massa_obj4,0.07960981367418028,779,4333163709991.627,1737505012382.1316,138322450293.6958,0.07960981367418028,0.6791583285574596,0.07960981367418028
tipologia,jenks_pib_pop,JPIB1_JPOP2,simples,0.12933569633073821,78,322053085285.1247,141158404440.90182,667279448.1749647,0.004727167686670273,0.12933569633073821,0.004727167686670287
tipologia,jenks_pib_pop,JPIB1_JPOP2,ponderada_refeita,0.004727167686670273,78,322053085285.1247,141158404440.90182,667279448.1749647,0.004727167686670273,0.12933569633073821,0.004727167686670287
tipologia,jenks_pib_pop,JPIB1_JPOP2,ponderada_massa_obj4,0.004727167686670287,78,322053085285.1247,141158404440.90182,667279448.1749647,0.004727167686670273,0.12933569633073821,0.004727167686670287
