Código CNAE;Descrição;Nível;Seção;Divisão;Grupo;Classe;Subclasse;Vínculos;Remuneração;Massa salarial;Salário relativo;Dif. abs.;Dif. %;Share vínculos;Share massa;Q salário;Q vínculos;Jenks;Rank salário;Rank vínculos;Rank massa;Classificação;Índice
2412100;Produção de ferroligas;Subclasse;C;24;241;24121;2412100;16321;4718,095617915569;77004038,58;1,6967291230120387;1937,3950606339263;69,67291230120387;0,00022440203340883064;0,00038074946534788343;4;3;2;223;576;456;Alta remuneração e alto emprego;0,0470905154990434
3011301;Construção de embarcações de grande porte;Subclasse;C;30;301;30113;3011301;36200;4278,268983701658;154873337,21;1,5385579624884198;1497,568426420015;53,85579624884198;0,0004977240125849929;0,0007657772426843273;4;3;2;282;348;272;Alta remuneração e alto emprego;0,04703725116883301
5911199;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Subclasse;J;59;591;59111;5911199;9696;4871,126777021452;47230445,23;1,751762434205921;2090,426219739809;75,1762434205921;0,0001333130393929307;0,00023353277439835013;4;2;2;213;727;584;Alta remuneração e baixo emprego;0,04701335419341435
7319002;Promoção de vendas;Subclasse;M;73;731;73190;7319002;212609;1735,8011191906269;369046940,15;0,624231586045896;-1044,899438091016;-37,5768413954104;0,0029232211213172034;0,0018247669569227006;1;4;1;1194;74;129;Baixa remuneração e alto emprego;0,04696440378849079
3314714;Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo;Subclasse;C;33;331;33147;3314714;7615;4906,614631648064;37363870,42;1,7645246334774973;2125,9140743664207;76,45246334774973;0,00010470078331035141;0,0001847471112955047;4;2;2;208;784;664;Alta remuneração e baixo emprego;0,04678896697256561
2591800;Fabricação de embalagens metálicas;Subclasse;C;25;259;25918;2591800;26018;4460,962321469752;116065317,68;1,604258434007975;1680,2617641881093;60,425843400797504;0,00035772882208387697;0,000573889479915798;4;3;2;257;440;339;Alta remuneração e alto emprego;0,04652327080150938
4644302;Comércio atacadista de medicamentos e drogas de uso veterinário;Subclasse;G;46;464;46443;4644302;13244;4742,28422153428;62806812,23;1,705427867490429;1961,583664252637;70,5427867490429;0,00018209549233910624;0,0003105507271795017;4;3;2;220;627;506;Alta remuneração e alto emprego;0,04638360382051045
5250803;Agenciamento de cargas, exceto para o transporte marítimo;Subclasse;H;52;525;52508;5250803;18938;4591,12134280283;86946655,99;1,6510664302851144;1810,4207855211876;65,10664302851143;0,00026038390470537555;0,00042991112404560386;4;3;2;239;541;422;Alta remuneração e alto emprego;0,046106245775931774
4744005;Comércio varejista de materiais de construção não especificados anteriormente;Subclasse;G;47;474;47440;4744005;171169;2149,780719405967;367975815,96;0,773107594694608;-630,919837875676;-22,6892405305392;0,0023534508704464267;0,001819470741682769;2;4;1;930;91;131;Baixa remuneração e alto emprego;0,04608340467933878
2229302;Fabricação de artefatos de material plástico para usos industriais;Subclasse;C;22;222;22293;2229302;93508;3218,9202045814263;300994790,49;1,1575932533088633;438,21964729978345;15,75932533088633;0,0012856678720662297;0,0014882804546998306;3;4;1;467;171;157;Alta remuneração e alto emprego;0,04600136297948888
7120100;Testes e análises técnicas;Subclasse;M;71;712;71201;7120100;74596;3505,486815915063;261495294,52;1,2606487982805155;724,78625863342;26,064879828051545;0,0010256414486958599;0,001292973659765123;3;4;2;404;197;179;Alta remuneração e alto emprego;0,04588678782207328
2840200;Fabricação de máquinas-ferramenta, peças e acessórios;Subclasse;C;28;284;28402;2840200;24740;4437,670972109943;109787979,85;1,595882361547092;1656,9704148283004;59,58823615470921;0,0003401572395401305;0,0005428509387346434;4;3;2;259;456;361;Alta remuneração e alto emprego;0,04574678710185527
2522500;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;Subclasse;C;25;252;25225;2522500;5019;4887,520765092648;24530466,72;1,7576580665235635;2106,820207811005;75,76580665235635;0,00006900764693823424;0,0001212918472927975;4;2;2;210;871;776;Alta remuneração e baixo emprego;0,045600857674504544
5920100;Atividades de gravação de som e de edição de música;Subclasse;J;59;592;59201;5920100;2149;4956,820544439274;10652207,35;1,7825797644622916;2176,1199871576314;78,25797644622916;0,0000295472072664406;0,000052670253769530206;4;1;2;201;1030;958;Alta remuneração e baixo emprego;0,04556191910097962
9313100;Atividades de condicionamento físico;Subclasse;R;93;931;93131;9313100;224855;1546,7162353516712;347786879,1;0,556232576464008;-1233,9843219299717;-44,3767423535992;0,003091594830104933;0,0017196457577320742;1;4;1;1284;70;136;Baixa remuneração e alto emprego;0,04553893209152708
7739099;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;Subclasse;N;77;773;77390;7739099;95411;3160,865929714603;301581379,22;1,136715681750574;380,16537243296034;13,671568175057391;0,0013118327559322308;0,0014911808655022401;3;4;1;486;167;156;Alta remuneração e alto emprego;0,04544200846890991
4637102;Comércio atacadista de açúcar;Subclasse;G;46;463;46371;4637102;2254;4937,600882874889;11129352,39;1,7756679589052151;2156,900325593246;77,56679589052152;0,000030990881888579395;0,00005502951598776638;4;1;2;205;1022;950;Alta remuneração e baixo emprego;0,04532941448965153
2443100;Metalurgia do cobre;Subclasse;C;24;244;24431;2443100;6361;4825,320847351046;30693865,91;1,7352896322170637;2044,620290069403;73,52896322170636;0,00008745918353737955;0,00015176701443458403;4;2;2;214;829;724;Alta remuneração e baixo emprego;0,04518818298017133
