id_tipologia,regiao,tipologia_pndr,pib_2021_mil,pib_pc_2021,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,jenks_pib_2021,jenks_pib_pc_2021,jenks_pop_2021,cruz_q_pib_pop,cruz_q_pibpc_pop,cruz_j_pib_pop,cruz_j_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop,flag_dep_j_pib_pop,flag_dep_j_pibpc_pop
2930709,2,Média Renda e Baixo Dinamismo,4976528,36294.02626953623,137117,113980,3651884536.67459,1252531442.292402,261699.7409667969,14867516.23098755,15129215.97195435,.0120789111243903,3,3,3,1,1,1,QPIB3_QPOP3,QPIBPC3_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
150017,1,Baixa Renda e Baixo Dinamismo,5190375,22750.53365652244,228143,212080,1743859733.063323,190872587.5253683,5746493.49584198,701737798.8843226,707484292.3801646,3.706578831211869,3,2,3,1,1,1,QPIB3_QPOP3,QPIBPC2_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
150012,1,Média Renda e Médio Dinamismo,6179021,22384.18875251772,276044,220355,2496218887.221924,522720787.0537393,617163662.8305982,12029926.35401154,629193589.1846098,1.2036896269823,3,2,4,1,1,1,QPIB3_QPOP4,QPIBPC2_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
290034,2,Baixa Renda e Alto Dinamismo,3045928,17195.2263207217,177138,179219,928523623.0815086,412464041.3473378,2381852.346855164,43817587.1818924,46199439.52874756,.112008405333552,3,2,3,1,1,1,QPIB3_QPOP3,QPIBPC2_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
240002,2,Baixa Renda e Médio Dinamismo,1611103,10989.41373077317,146605,134089,286937930.353528,77778529.27201462,1823800.323120117,0,1823800.323120117,.0234486347349375,2,1,3,1,1,1,QPIB2_QPOP3,QPIBPC1_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
350033,3,Alta Renda,14573135,33572.54094300807,434079,422379,9708815382.473753,4905338185.809075,99047059.37183686,7695226.453636169,106742285.825473,.0217604335893239,4,3,4,1,1,1,QPIB4_QPOP4,QPIBPC3_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
310031,3,Média Renda e Médio Dinamismo,3671869,19619.9251936949,187150,175220,2156065649.847365,1002992873.01274,16069998.70618439,35265318.48288727,51335317.18907166,.0511821355568292,3,2,3,1,1,1,QPIB3_QPOP3,QPIBPC2_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420019,4,Alta Renda,31145093,46898.19756060834,664100,655004,27621415234.12778,15974842257.45638,15631337.97862864,56504763.08116913,72136101.05979776,.0045156064703004,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
290028,2,Baixa Renda e Médio Dinamismo,956503,9764.718493185646,97955,93864,102687598.5167902,27107110.10482193,2830393.932434082,215036.810546875,3045430.742980957,.1123480419419266,1,1,2,1,1,1,QPIB1_QPOP2,QPIBPC1_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
2513703,2,Baixa Renda e Médio Dinamismo,2248411,16281.86077498497,138093,149335,1343701258.523297,412510086.4264216,71586571.43334198,4094812.905151368,75681384.33849335,.1834655365499589,2,2,3,1,1,1,QPIB2_QPOP3,QPIBPC2_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
